manner_of_death,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,gender
shot,gun,36.0,White,Bakersfield,CA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,machete,63.0,Black,New Orleans,LA,TRUE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,34.0,White,Coal County,OK,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,24.0,Native,Red Valley,AZ,FALSE,attack,Car,FALSE,Guns,M
shot,gun,21.0,White,Cottonwood,AZ,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,44.0,White,Clarendon,NY,FALSE,attack,Car,FALSE,Guns,M
shot,gun,60.0,White,Harmony,IN,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,42.0,White,Columbus,OH,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,37.0,White,Vallejo,CA,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot and Tasered,knife,36.0,White,Portland,OR,TRUE,other,Foot,FALSE,Sharp objects,M
shot and Tasered,unknown,21.0,Black,Islip,NY,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,24.0,Black,Santa Clara,CA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,29.0,Black,Portsmouth,VA,TRUE,attack,Car,FALSE,Guns,M
shot,gun,57.0,White,San Jose,CA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,38.0,White,Fond du Lac,WI,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,23.0,Black,Smyrna,GA,FALSE,other,Car,TRUE,Unknown,M
shot,gun,27.0,Black,Johnsonville,SC,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,28.0,Hispanic,South Los Angeles,CA,FALSE,attack,Foot,FALSE,Guns,M
shot and Tasered,gun,63.0,White,Glendale,AZ,TRUE,other,Not fleeing,FALSE,Guns,M
shot,gun,53.0,White,Gardner,KS,FALSE,attack,Not fleeing,FALSE,Guns,F
shot,knife,35.0,Hispanic,Wilmington,CA,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,knife,26.0,Black,Oxnard,CA,FALSE,other,Not fleeing,FALSE,Sharp objects,F
shot,gun,42.0,White,Fort Ashby,WV,FALSE,attack,Car,FALSE,Guns,M
shot,gun,41.0,Black,Boston,MA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,56.0,White,Encinitas,CA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,knife,39.0,Black,Fort Pierce,FL,FALSE,other,Not fleeing,FALSE,Sharp objects,M
shot,toy weapon,23.0,Hispanic,Bakersfield,CA,FALSE,attack,Car,FALSE,Other unusual objects,M
shot,gun,40.0,White,Webster,MA,FALSE,attack,Foot,FALSE,Guns,M
shot,gun,29.0,Black,Elizabethtown,KY,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,unknown,26.0,White,Jasper,OH,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,49.0,White,Eugene,OR,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,36.0,White,Carollwood,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,toy weapon,21.0,Hispanic,Baytown,TX,FALSE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,unknown,27.0,Black,Fort Meade,MD,FALSE,other,Car,FALSE,Unknown,F
shot,gun,37.0,Black,Hawthorne,CA,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,36.0,White,Hamilton,NJ,FALSE,attack,Not fleeing,FALSE,Sharp objects,M
shot,gun,32.0,Black,Rock Island,IL,FALSE,attack,Foot,FALSE,Guns,M
shot,unarmed,44.0,Black,Tulsa,OK,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,27.0,White,Pineville,LA,TRUE,attack,Not fleeing,FALSE,Guns,M
shot and Tasered,gun,63.0,White,Metropolis,IL,TRUE,attack,Not fleeing,FALSE,Guns,M
